part_number,manufacturer,family,description,component_type,target_file,verified_url
744053002,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053002.pdf
744053003,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053003.pdf
744053005,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053005.pdf
744053008,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053008.pdf
744053120,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053120.pdf
744053180,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053180.pdf
744031101,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744031101.pdf
744870101,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870101.pdf
744870221,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870221.pdf
744062680,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744062680.pdf
744043101,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744043101.pdf
744031470,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744031470.pdf
744871330,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""L""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744871330.pdf
744031330,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744031330.pdf
744871470,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""L""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744871470.pdf
744870470,Wurth Elektronik,WE-DD,"SMT-Doppeldrossel WE-DD Typ ""XL""",magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744870470.pdf
7440329100,Wurth Elektronik,WE-LQ,SMT HF-Drossel WE-LQ,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/7440329100.pdf
744053221,Wurth Elektronik,WE-TPC,WE-TPC SMT Shielded Tiny Power Inductor,magnetic,magnetics.ndjson,https://www.we-online.com/components/products/datasheet/744053221.pdf
